,ind,company,pct,Mean Return,Ret_bracket,Variance,Vol_bracket,Volatility,portfolio,key,is_optimal
37499,12499,GE,0.47,0.0149009319256,0.015,0.00640808033556,0.08,0.0800504861669,AAPL_AMD_GE,"AAPL, AMD, GE 12499",1.0
37773,12591,AAPL,0.54,0.015426813964,0.015,0.00659711677895,0.081,0.0812226371091,AAPL_AMD_GE,"AAPL, AMD, GE 12591",1.0
37774,12591,AMD,0.01,0.015426813964,0.015,0.00659711677895,0.081,0.0812226371091,AAPL_AMD_GE,"AAPL, AMD, GE 12591",1.0
37775,12591,GE,0.45,0.015426813964,0.015,0.00659711677895,0.081,0.0812226371091,AAPL_AMD_GE,"AAPL, AMD, GE 12591",1.0
38034,12678,AAPL,0.56,0.0159526960023,0.016,0.00679826497181,0.082,0.0824515916875,AAPL_AMD_GE,"AAPL, AMD, GE 12678",1.0
38035,12678,AMD,0.01,0.0159526960023,0.016,0.00679826497181,0.082,0.0824515916875,AAPL_AMD_GE,"AAPL, AMD, GE 12678",1.0
38036,12678,GE,0.43,0.0159526960023,0.016,0.00679826497181,0.082,0.0824515916875,AAPL_AMD_GE,"AAPL, AMD, GE 12678",1.0
38154,12718,AAPL,0.57,0.0162156370215,0.016,0.00690338097428,0.083,0.0830865872105,AAPL_AMD_GE,"AAPL, AMD, GE 12718",1.0
38155,12718,AMD,0.01,0.0162156370215,0.016,0.00690338097428,0.083,0.0830865872105,AAPL_AMD_GE,"AAPL, AMD, GE 12718",1.0
38156,12718,GE,0.42,0.0162156370215,0.016,0.00690338097428,0.083,0.0830865872105,AAPL_AMD_GE,"AAPL, AMD, GE 12718",1.0
38340,12780,AAPL,0.59,0.0167415190599,0.017,0.00712269679134,0.084,0.0843960709473,AAPL_AMD_GE,"AAPL, AMD, GE 12780",1.0
38341,12780,AMD,0.01,0.0167415190599,0.017,0.00712269679134,0.084,0.0843960709473,AAPL_AMD_GE,"AAPL, AMD, GE 12780",1.0
38342,12780,GE,0.4,0.0167415190599,0.017,0.00712269679134,0.084,0.0843960709473,AAPL_AMD_GE,"AAPL, AMD, GE 12780",1.0
38442,12814,AAPL,0.6,0.017004460079,0.017,0.00723689660592,0.085,0.0850699512514,AAPL_AMD_GE,"AAPL, AMD, GE 12814",1.0
38443,12814,AMD,0.01,0.017004460079,0.017,0.00723689660592,0.085,0.0850699512514,AAPL_AMD_GE,"AAPL, AMD, GE 12814",1.0
38444,12814,GE,0.39,0.017004460079,0.017,0.00723689660592,0.085,0.0850699512514,AAPL_AMD_GE,"AAPL, AMD, GE 12814",1.0
38649,12883,AAPL,0.62,0.0175303421174,0.018,0.00747438004717,0.086,0.0864544969748,AAPL_AMD_GE,"AAPL, AMD, GE 12883",1.0
38650,12883,AMD,0.01,0.0175303421174,0.018,0.00747438004717,0.086,0.0864544969748,AAPL_AMD_GE,"AAPL, AMD, GE 12883",1.0
38651,12883,GE,0.37,0.0175303421174,0.018,0.00747438004717,0.086,0.0864544969748,AAPL_AMD_GE,"AAPL, AMD, GE 12883",1.0
38751,12917,AAPL,0.63,0.0177932831366,0.018,0.00759766367385,0.087,0.0871645780914,AAPL_AMD_GE,"AAPL, AMD, GE 12917",1.0
38752,12917,AMD,0.01,0.0177932831366,0.018,0.00759766367385,0.087,0.0871645780914,AAPL_AMD_GE,"AAPL, AMD, GE 12917",1.0
38753,12917,GE,0.36,0.0177932831366,0.018,0.00759766367385,0.087,0.0871645780914,AAPL_AMD_GE,"AAPL, AMD, GE 12917",1.0
38757,12919,AAPL,0.63,0.018082094645,0.018,0.00781911775268,0.088,0.0884257753864,AAPL_AMD_GE,"AAPL, AMD, GE 12919",1.0
38758,12919,AMD,0.03,0.018082094645,0.018,0.00781911775268,0.088,0.0884257753864,AAPL_AMD_GE,"AAPL, AMD, GE 12919",1.0
38759,12919,GE,0.34,0.018082094645,0.018,0.00781911775268,0.088,0.0884257753864,AAPL_AMD_GE,"AAPL, AMD, GE 12919",1.0
39060,13020,AAPL,0.66,0.0185821061941,0.019,0.00798568217808,0.089,0.0893626441981,AAPL_AMD_GE,"AAPL, AMD, GE 13020",1.0
39061,13020,AMD,0.01,0.0185821061941,0.019,0.00798568217808,0.089,0.0893626441981,AAPL_AMD_GE,"AAPL, AMD, GE 13020",1.0
39062,13020,GE,0.33,0.0185821061941,0.019,0.00798568217808,0.089,0.0893626441981,AAPL_AMD_GE,"AAPL, AMD, GE 13020",1.0
39156,13052,AAPL,0.67,0.0188450472133,0.019,0.00812107755422,0.09,0.0901170214456,AAPL_AMD_GE,"AAPL, AMD, GE 13052",1.0
39157,13052,AMD,0.01,0.0188450472133,0.019,0.00812107755422,0.09,0.0901170214456,AAPL_AMD_GE,"AAPL, AMD, GE 13052",1.0
39158,13052,GE,0.32,0.0188450472133,0.019,0.00812107755422,0.09,0.0901170214456,AAPL_AMD_GE,"AAPL, AMD, GE 13052",1.0
39162,13054,AAPL,0.67,0.0191338587217,0.019,0.0083547451614,0.091,0.0914042950927,AAPL_AMD_GE,"AAPL, AMD, GE 13054",1.0
39163,13054,AMD,0.03,0.0191338587217,0.019,0.0083547451614,0.091,0.0914042950927,AAPL_AMD_GE,"AAPL, AMD, GE 13054",1.0
39164,13054,GE,0.3,0.0191338587217,0.019,0.0083547451614,0.091,0.0914042950927,AAPL_AMD_GE,"AAPL, AMD, GE 13054",1.0
39405,13135,AAPL,0.7,0.0196338702709,0.02,0.00854543130686,0.092,0.0924415020803,AAPL_AMD_GE,"AAPL, AMD, GE 13135",1.0
39406,13135,AMD,0.01,0.0196338702709,0.02,0.00854543130686,0.092,0.0924415020803,AAPL_AMD_GE,"AAPL, AMD, GE 13135",1.0
39407,13135,GE,0.29,0.0196338702709,0.02,0.00854543130686,0.092,0.0924415020803,AAPL_AMD_GE,"AAPL, AMD, GE 13135",1.0
39468,13156,AAPL,0.71,0.01989681129,0.02,0.00869293843247,0.093,0.0932359288712,AAPL_AMD_GE,"AAPL, AMD, GE 13156",1.0
